id,cui,name,official_name,definition
1652,C0030410,paracoccus,Paracoccus bacteria,Gram-negative non-motile bacteria found in soil or brines.
1653,C1461618,vibrio tasmaniensis,Vibrio tasmaniensis,None
1654,C0445757,trabulsiella,Trabulsiella,"A genus of aerobic, Gram negative, rod shaped bacterium assigned to the phylum Proteobacteria and the family Enterobacteriaceae."
1655,C1037778,pasteurianus,Pasteuria,A genus of GRAM-POSITIVE ENDOSPORE-FORMING BACTERIA in the family Pasteuriaceae. It is transmitted via soil or waterborne SPORES.
1656,C2642913,pasteuriaceae,Pasteuriaceae,None
1657,C0317449,serratia fonticola,Serratia fonticola,"A species of facultatively anaerobic, Gram negative, rod shaped bacteria in the phylum Proteobacteria. This species is motile, peritrichous, decarboxylase, citrase and esterase positive and can ferment adonitol, arabinose, arabitol, cellobiose, dulcitol, glucose, galactose, lactose, inositol, mannose, maltose, melibiose, ribose, sorbitol, and salicin. S. fonticola is found in water and soil and is not a pathogen."
1658,C0331718,microcystis aeruginosa,Microcystis aeruginosa,None
1659,C4128728,patescibacteria,Patescibacteria group,None
1660,C4128753,bacteria candidate phyla,Bacteria candidate phyla,None
1661,C0318309,bacteria incertae sedis,unclassified Bacteria,None
1662,C0314984,bifidobacterium catenulatum,Bifidobacterium catenulatum,None
1663,C1481127,stackebrandtia nassauensis,Stackebrandtia nassauensis,None
1664,C1481126,stackebrandtia,Stackebrandtia,None
1665,C1037131,glycomycetaceae,Glycomycetaceae,None
1666,C1037112,glycomycetales,Glycomycineae,None
1667,C1002644,bradyrhizobium elkanii,Bradyrhizobium elkanii,None
1668,C0445819,ochrobactrum anthropi,Ochrobactrum anthropi,"A species of gram-negative, obligately aerobic rods. Motility occurs by peritrichous flagella. (From Bergeys Manual of Determinative Bacteriology, 9th ed)"
1669,C1012100,propionigenium maris,Propionigenium maris,None
1670,C0995954,propionigenium,Propionigenium,"A genus of strictly anaerobic, nonsporeforming gram-negative bacteria in the family Fusobacteriaceae. Species in this genus are popularly used in biochemical research."
1671,C1024539,nevskia ramosa,Nevskia ramosa,None
1672,C1024538,nevskia,Nevskia,None
1673,C4090211,nevskiales,Nevskiales,None
1674,C2624482,parasutterella excrementihominis,Parasutterella excrementihominis,None
1675,C2654221,proteobacterium,proteobacterium 1,None
1676,C1203770,facklamia hominis,Facklamia hominis,"A species of gram-positive, catalase-negative, facultatively anaerobic, coccus-shaped bacteria in the family Firmicutes. F. hominis is a normal part of the female genital tract flora but may act as an opportunistic pathogen."
1677,C1026185,facklamia,Facklamia,"A genus of facultatively anaerobic, Gram positive, cocci shaped bacterium assigned to the phylum Firmicutes and the family Aerococcaceae."
1678,C3913552,pseudocitrobacter faecalis,Pseudocitrobacter faecalis,None
1679,C3945380,pseudocitrobacter,Pseudocitrobacter,None
1680,C1458605,leptotrichia goodfellowii,Leptotrichia goodfellowii,None
1681,C5469389,pseudoleptotrichia,Pseudoleptotrichia,None
1682,C0314887,paenibacillus larvae,Paenibacillus larvae,"A species of Paenibacillus that causes American Foulbrood, a fatal disease of honeybees (APIS) and honeybee colonies."
1683,C1004806,melissococcus plutonius,Melissococcus plutonius,None
1684,C1004805,melissococcus,Melissococcus,None
1685,C0317477,pseudoramibacter alactolyticus,Pseudoramibacter alactolyticus,"A genus of aerobic, Gram-positive, rod shaped bacteria assigned to the phylum Firmicutes. This species is nonmotile, non-spore forming, indole negative, reduces neutral red, but not nitrate, does not produce hydrogen sulfide, and does not hydrolyze hippurate, esculin, or starch. E. alactolyticum, also known as Pseudoramibacter alactolyticus, has been isolated from dental calculus and gingival crevices in individuals with periodontal disease."
1686,C3557589,stomatobaculum longum,Stomatobaculum longum,None
1687,C1193012,turicibacter sanguinis,Turicibacter sanguinis,None
1688,C0318135,staphylococcus chromogenes,Staphylococcus chromogenes,"A species of facultatively anaerobic, Gram positive, cocci shaped bacteria in the phylum Firmicutes. This species is positive for catalase, caseinase, urease and alkaline phosphatase, and negative for coagulase, oxidase, and hyaluronidase. It can ferment sucrose, mannose, glycerol, ribose, lactose and trehalose but not arabinose, cellobiose, maltose, mannitol, turanose, xylitol or xylose. S. chromogenes is found on the skin and in the milk of some farm animals, can cause exudative epidermitis in pigs and may contribute to chronic fatigue syndrome in humans."
1689,C1072848,lactobacillus parabuchneri,Lactobacillus parabuchneri,None
1690,C2999405,fructobacillus tropaeoli,Fructobacillus tropaeoli,None
1691,C2653013,fructobacillus,Fructobacillus,None
1692,C0995445,wolbachia pipientis,Wolbachia pipientis,None
1693,C0318319,rickettsiella,Rickettsiella,None
1694,C0317886,neisseria cinerea,Neisseria cinerea,"A species of anaerobic, Gram-negative, diplococci shaped bacteria assigned to the phylum Proteobacteria. This species is oxidase positive, reduces nitrite, but not nitrate, produces carbonic anhydrase, does not hydrolyze tributyrin, is non-hemolytic, and does not produce acid from glucose, maltose, fructose, sucrose, mannose, or lactose. N. cinerea is commensal in the human nasal and oropharyngeal tract, and is considered non-pathogenic, but can become pathogenic in immunocompromised individuals."
1695,C4430696,ruthenibacterium,Ruthenibacterium,None
1696,C0317908,nocardiopsis,Nocardiopsis,"A genus of gram-positive bacteria in the phylum ACTINOBACTERIA and family Nocardiopsaceae. This genus occurs in saline and alkaline soils, and is known for producing antimicrobial compounds such as thiopeptides."
1697,C1036181,nocardiopsaceae,Nocardiopsaceae,None
1698,C1563238,fragilis group,Bacteroides fragilis group,A bacterium that belongs to the Fragilis group of the genus Bacteroides.
1699,C1027169,streptococcus peroris,Streptococcus peroris,None
1700,C0317501,eubacterium siraeum,Eubacterium siraeum,None
1701,C0315136,clostridium sardiniense,Clostridium sardiniense,None
1702,C0317497,mogibacterium thymidum,Mogibacterium timidum,"A species of obligately anaerobic, Gram positive, rod shaped bacterium assigned to the phylum Firmicutes. This species is catalase negative, does not hydrolyze arginine, does not reduce nitrate and is assachrolytic. M. timidum is found in the oral cavity and may be related to periodontitis."
1703,C1224837,kosakonia cowanii,Kosakonia cowanii,None
1704,C0445625,negative staphylococci,"Staphylococcus, coagulase negative (organism)",A subtype of Staphylococcus characterized by an inability to produce free plasma coagulase.
1705,C0318118,staphylococcus hyicus,Staphylococcus hyicus,"A species of facultatively anaerobic, Gram positive, cocci shaped bacteria in the phylum Firmicutes. This species is positive for catalase, caseinase, hyaluronidase, and alkaline phosphatase, and negative for coagulase, oxidase, and urease. It can ferment sucrose, mannose, ribose, lactose and trehalose but not arabinose, cellobiose, maltose, glycerol, mannitol, turanose, xylitol or xylose. S. hyicus is a zoonotic pathogen."
1706,C0317957,corynebacterium granulosum,Propionibacterium granulosum,"A species of anaerobic, Gram-positive, rod shaped bacteria assigned to the phylum Actinobacteria. This species is non-spore forming, catalase positive, indole negative, does not hydrolyze esculin, starch, gelatin, or casein, and does not reduce nitrate. P. granulosum has been isolated from the skin and gastrointestinal tract, and may contribute to the etiology of acne vulgaris."
1707,C1264834,corynebacterium sp,Corynebacterium species,None
1708,C5314441,unclassified corynebacterium,unclassified Corynebacterium,None
1709,C1020192,dermacoccus spp,Dermacoccus,"A genus of aerobic, Gram positive, cocci shaped bacterium in the phylum Actinobacteria and the family Dermacoccaceae."
1710,C1929900,bacteroides barnesiae,Bacteroides barnesiae,None
1711,C4441069,anaeromassilibacillus,Anaeromassilibacillus,None
1712,C3318409,halomonas stenophila,Halomonas stenophila,None
1713,C3315660,halomonas smyrnensis,Halomonas smyrnensis,None
1714,C1011000,corynebacterium propinquum,Corynebacterium propinquum,"A species of aerobic or facultatively anaerobic, Gram-positive, coryneform, pleomorphic bacilli assigned to the phylum Actinobacteria. This species is nonmotile, non-spore forming, catalase positive, oxidase negative, non-acid fast, non-lipophilic, reduces nitrate, does not hydrolyze urea, starch, or gelatin, and does not ferment glucose, sucrose, or maltose. C. propinquum is commensal to the oropharyngeal flora."
1715,C0317616,lactobacillus rogosae,Lactobacillus rogosae,None
1716,C1015727,actinobacillus porcinus,Actinobacillus porcinus,None
1717,C0006814,campylobacter fetus,Campylobacter fetus,"A species of bacteria present in man and many kinds of animals and birds, often causing infertility and/or abortion."
1718,C4162622,agathobacter ruminis,Agathobacter ruminis,None
1719,C1046491,catenibacterium mitsuokai,Catenibacterium mitsuokai,None
1720,C1234583,lactobacillus antri,Lactobacillus antri,None
1721,C1630085,thalassobius,Thalassobius,None
1722,C1068855,gemmatimonadetes,Phylum Gemmatimonadetes,None
1723,C0752000,gluconobacter,Gluconobacter,"A genus of gram-negative, rod-shaped to ellipsoidal bacteria occurring singly or in pairs and found in flowers, soil, honey bees, fruits, cider, beer, wine, and vinegar. (From Bergeys Manual of Determinative Bacteriology, 9th ed)"
1724,C1257868,yersinia ruckeri,Yersinia ruckeri,"A species of facultatively anaerobic, Gram negative, rod shaped bacteria in the phylum Proteobacteria. This species is motile, positive for ornithine decarboxylase, lysine decarboxylase, and beta galactosidase and negative for indole, urease, and oxidase. It is able to ferment trehalose, mannitol, and maltose but not sucrose, cellobiose, sorbitol, inositol, rhamnose, raffinose, or melibiose. Y. ruckeri is found in aqueous environments and is the causative agent of redmouth in fish, but is not a known human pathogen."
1725,C0317887,neisseria lactamica,Neisseria lactamica,"A species of aerobic, Gram-negative, diplococci shaped bacteria assigned to the phylum Proteobacteria. This species is catalase and oxidase positive, nonmotile, colistin-resistant, grows on chocolate agar in high humidity, and is characterized by its ability to produce acid from glucose, maltose, and lactose, as well as by its ability to produce beta-galactosidase. N. lactamica is commensal in the human nasopharynx, commonly isolated from children, and is rarely pathogenic."
1726,C0995990,epulopiscium,Epulopiscium,None
1727,C0317883,neisseria mucosa,Neisseria mucosa,"A species of aerobic, Gram-negative, diplococci shaped bacteria assigned to the phylum Proteobacteria. This species is catalase and oxidase positive, non-hemolytic, produces a yellowish pigment, reduces both nitrate and nitrite, synthesizes polysaccharides, and produces acid from glucose, maltose, fructose, and sucrose, but not mannose or lactose. N. mucosa is commensal in the human nasopharynx and is rarely pathogenic."
1728,C0996234,synergistes,Synergistes,None
1729,C0317940,riemerella anatipestifer,Riemerella anatipestifer,None
1730,C1004862,riemerella,Riemerella,"A genus of gram-negative, rod-shaped bacteria in the family FLAVOBACTERIACEAE that causes exudative SEPTICEMIA in ducks, pigeons, and other domestic and wild birds."
1731,C0314969,bdellovibrio bacteriovorus,Bdellovibrio bacteriovorus,"A non-pathogenic, obligate aerobic, Gram-negative species of Bdellovibrio that occurs in water and soil, as well as the intestines of birds and mammals. It can infect and lyse pathogenic GRAM-NEGATIVE BACTERIA and can function as a PROBIOTIC and ANTI-BACTERIAL AGENT."
1732,C0004892,bdellovibrio,Bdellovibrio,A genus of bacteria capable of developing within other bacteria.
1733,C1227328,bdellovibrionales,Bdellovibrionales,None
1734,C3398051,hungatella effluvii,Hungatella effluvii,None
1735,C2773833,bacteroides fluxus,Bacteroides fluxus,None
1736,C3943173,coprobacter secundus,Coprobacter secundus,None
1737,C1638075,clostridium citroniae,Clostridium citroniae,"A species of gram-positive, obligate anaerobic bacteria in the family Clostridiaceae. C. aldenense is indole positive and produces acid from glucose, maltose, mannose, rhamnose, sucrose, trehalose, and xylose but not from cellobiose, esculin, lactose, mannitol, melezitose, raffinose, salicin, sorbitol, or starch. This species does not hydrolyze urea, esculin, starch, or gelatin or reduce nitrate."
