,MICROBE,DISEASE,EVIDENCE,RELATION,QUESTIONS,Unnamed: 0
719,Lactobacilli,HIV-infected,"In HIV-infected patients, inflammatory markers were concurrent with an altered fecal microbiome composition featuring increased abundances of Pseudomonas aeruginosa and Candida albicans and decreased abundances of Lactobacilli and Bifidobacteria (Gori et al., 2008).",negative,What is the relationship between Lactobacilli and HIV-infected?,
791,Lactobacillus acidophilus,colorectal cancer,"For instance, the use of combination of Lactobacillus acidophilus ATCC 314 and Lactobacillus fermentum NCIMB 5221 reduced cell proliferation and downregulated cellular proliferation marker in the in vivo model of colorectal cancer [9].",negative,What is the relationship between Lactobacillus acidophilus and colorectal cancer?,
954,Fusobacterium,tumors,"Interestingly, the genera Roseburia, Fusobacterium and Faecalibacterium, which are moderately enriched in tumors belong to the major butyrate producing intestinal bacteria.",positive,What is the relationship between Fusobacterium and tumors?,
868,Clostridium,RA,"Beyond that, there were no statistically significant differences (p > 0.05) in relative expression units of Bifidobacterium (median: 195.7), Clostridium coccoides (median: 82.78), Clostridium coccoides-Eubacteria rectale (median: 60.17), Lactobacillus (median: 6.31), and Roseburia species (median: 795.1) in stool samples from RA patients, compared with controls (median Bif: 457.5; Ccoc: 48.86; CIEub: 41.37; Lac: 3,888; Ros: 1.535) (Figure 1).",na,What is the relationship between Clostridium and RA?,
972,Fusobacterium nucleatum,periodontal disease,"The Porphyromonas genus include Porphyromonas gingivalis, implicated in periodontal disease but also previously detected in oral cavities of healthy children, whilst the Fusobacterium genus include the bacteria Fusobacterium nucleatum, a species widely present in the oral cavity but also considered to be an opportunistic oral pathogen.",na,What is the relationship between Fusobacterium nucleatum and periodontal disease?,
1069,Clostridium difficile,nosocomial GI?infection,"Clostridioides difficile (previously?named Clostridium difficile 1) infection (CDI) is the major global cause of nosocomial GI?infection, with incidence rates increasing worldwide.",positive,What is the relationship between Clostridium difficile and nosocomial GI?infection?,
964,Tannerella forsythia,individual oral infection,"For example, murine oral co-infection with Tannerella forsythia and Fusobacterium nucleatum [9] or with Porphyromonas gingivalis and Treponema denticola [10] induces greater alveolar bone resorption than either species alone, while a polybacterial inoculum of P. gingivalis, T. denticola, T. forsythia, and F. nucleatum elicits a unique immune/inflammatory response and physiologic changes compared to individual oral infection with each of the species [11?16].",relate,What is the relationship between Tannerella forsythia and individual oral infection?,
774,Clostridiales,IBD,"However, other family members within the order Clostridiales such as Ruminococcaceae as well as the Veillonellaceae within the order Selenomonadales are rather increased in patients with IBD,25 28 34 making general disease-related conclusions at these high taxonomic levels rather difficult.",positive,What is the relationship between Clostridiales and IBD?,
324,Bifidobacterium breve,sepsis,"In a review by Doron and Syndman examining the adverse events associated with probiotics, at least eight cases of bacteremia were associated with lactobacilli, nine cases of sepsis with Saccharomyces boulardii, Lactobacillus rhamnosus GG, Bacillus subtilis, Bifidobacterium breve, or combination probiotics, and two cases of endocarditis were due to lactobacillus and streptococcus probiotics [34].",positive,What is the relationship between Bifidobacterium breve and sepsis?,
203,Enterococcus faecium,cholangitis,"The causative pathogens and foci included the following: 3 episodes of Staphylococcus aureus surgical site infections, 3 episodes of Enterococcus faecium cholangitis, 2 episodes of intra-abdominal infections caused by Escherichia coli, an intra-abdominal abscess caused by E. faecium, a ventilator-associated pneumonia caused by E. coli, a urinary tract infection caused by Pseudomonas aeruginosa.",positive,What is the relationship between Enterococcus faecium and cholangitis?,
84,Prevotella,inflammation and non-infectious diseases of the colon,"To this regard, it has been reported that an increased amount of Veillonella is associated with higher levels of gut inflammation and the development of colitis and Crohn?s disease; on the contrary, an increased the abundance of the Prevotella genus has been described as a shield against inflammation and non-infectious diseases of the colon.",negative,What is the relationship between Prevotella and inflammation and non-infectious diseases of the colon?,
633,Lactobacillus plantarum,dysbiosis,"Additional Information How to cite this article: Davis, D. J. et al.Lactobacillus plantarum attenuates anxiety-related behavior and protects against stress-induced dysbiosis in adult zebrafish.",negative,What is the relationship between Lactobacillus plantarum and dysbiosis?,
908,Clostridium,EPG,"Bacteroides, Veillonella, Clostridium, and Bifidobacterium had a slight negative correlation with EPG (Table 3); meanwhile, Atopobium, Actinomyces, and Granulicatella had a weak positive correlation with EPG (Table 3).",negative,What is the relationship between Clostridium and EPG?,
611,Serratia marcescens,cardiovascular disorders,"Vitamin-K-producing gut bacteria namely Bacteroides fragilis, Eubacterium lentum, Enterobacter agglomerans, Serratia marcescens, and Enterococcus faecium (Fernandez and Collins, 1987; Cooke et al., 2006) anaerobically synthesize vitamin K2 (menaquinone) which is essential in decreasing vascular calcification, elevating HDL and lowering cholesterol levels, contributing to lower risk of cardiovascular disorders such as atherosclerosis and coronary heart disease (Kawashima et al., 1997; Geleijnse et al., 2004).",negative,What is the relationship between Serratia marcescens and cardiovascular disorders?,
398,Aggregatibacter actinomycetemcomitans (Aa),periodontal diseases,"Four common periodontopathogens, Aggregatibacter actinomycetemcomitans (Aa), Porphyromonas gingivalis (Pg), Prevotella intermedia (Pi) and Tannerella forsythia (Tf), which are highly related to periodontal diseases and were mostly reported in the included studies, were selected for qualitative and quantitative analysis.",positive,What is the relationship between Aggregatibacter actinomycetemcomitans (Aa) and periodontal diseases?,
91,Campylobacter jejuni,foodborne bacterial gastroenteritis,"Campylobacter jejuni is a microaerophilic Gram-negative bacterium that is the leading cause of foodborne bacterial gastroenteritis worldwide (Silva et al., 2011; Kaakoush et al., 2015).",positive,What is the relationship between Campylobacter jejuni and foodborne bacterial gastroenteritis?,
430,Escherichia coli,colorectal cancer,"Fusobacterium nucleatum, Escherichia coli, Enterococcus faecalis, Streptococcus gallolyticus, and enterotoxigenic Bacteroides fragilis are candidate microorganisms that were pointed out as initial triggers in the development of colorectal cancer (CRC).",positive,What is the relationship between Escherichia coli and colorectal cancer?,
779,Enterococcus,aerobic vaginitis (AV),"Among the 25 increased genera, many anaerobic bacteria, such as Gardnerella, Prevotella, and Atopobium, are the main pathogens for bacterial vaginosis (BV), while the abundance of many aerobic bacteria, such as Escherichia, Enterococcus, Streptococcus, and Corynebacterium, are closely related to the risk of aerobic vaginitis (AV) and urinary tract infection (UTI).",positive,What is the relationship between Enterococcus and aerobic vaginitis (AV)?,
291,Bacillus subtilis,tumor,"Again, in the setting of DMH-induced colon carcinogenesis, the probiotics Bacillus subtilis and Clostridium butyricum separately administered to cancer-induced mice significantly decreased tumor incidence and size, compared to injured mice not receiving probiotics.",negative,What is the relationship between Bacillus subtilis and tumor?,
57,Faecalibacterium prausnitzii,CD,"The gut microbiome is a key factor in the pathogenesis of IBD and a dysbiosis, mainly characterized by downregulation of butyrate-producing species like Faecalibacterium prausnitzii, belonging to the Ruminococcaceae family, has consistently been reported in patients with IBD and especially in patients with CD (11?13).",negative,What is the relationship between Faecalibacterium prausnitzii and CD?,
257,Desulfovibrio,ulcerative colitis (UC),"Helicobacter, Escherichia/Shigella and Desulfovibrio are often associated with the pathogenesis of inflammatory bowel disease (IBD) and ulcerative colitis (UC), both of which have deleterious effects on the immune system and enhance intestinal inflammation.",positive,What is the relationship between Desulfovibrio and ulcerative colitis (UC)?,
