,MICROBE,DISEASE,EVIDENCE,RELATION,QUESTIONS,Unnamed: 0
448,Faecalibacterium prausnitzii,colon tumors,"faecalibacterium prausnitzii, a periodontal disease-associated microbe, showed a correlation with colon tumors risk, independent of the cancer type.",positive,what is the relationship between faecalibacterium prausnitzii and colon tumors?,405
449,Escherichia coli Nissle 1917,carcinoma in adenoma,"the presence of escherichia coli nissle 1917 was linked to an increased risk of carcinoma in adenoma, irrespective of carcinoma in adenoma subtype.",positive,what is the relationship between escherichia coli nissle 1917 and carcinoma in adenoma?,405
450,Fusobacterium,psoriasis,"psoriasis risk was found to be associated with fusobacterium, a periodontal disease-related microorganism, regardless of psoriasis type.",positive,what is the relationship between fusobacterium and psoriasis?,405
451,Fusobacterium nucletum,gastric carcinogenesis,the presence of fusobacterium nucletum species in saliva was found to be lower in individuals with gastric carcinogenesis compared to those with oral squamous cell carcinoma (oscc) [78].,negative,what is the relationship between fusobacterium nucletum and gastric carcinogenesis?,943
452,Faecalibacterium prausnitzii,bacteraemia,"faecalibacterium prausnitzii was one of the bacterial species that showed decreased salivary abundance in patients with bacteraemia, as opposed to oscc patients [78].",negative,what is the relationship between faecalibacterium prausnitzii and bacteraemia?,943
453,Cronobacter sakazakii,anxiety,"anxiety were associated with reduced levels of cronobacter sakazakii species in saliva, while oscc patients had higher abundances of this microbe [78].",negative,what is the relationship between cronobacter sakazakii and anxiety?,943
454,Bacteroides eggerthii,arthritis14,"in comparison to oscc patients, salivary samples from patients with arthritis14 exhibited lower quantities of bacteroides eggerthii [78].",negative,what is the relationship between bacteroides eggerthii and arthritis14?,943
455,Serratia marcescens,ALD,"the presence of serratia marcescens xiva is found to be reduced in individuals with ald, as opposed to healthy controls, according to a study (26).",negative,what is the relationship between serratia marcescens and ald?,93
456,Streptococcus sp. oral taxon 058,gallbladder cancer,"a comparison between gallbladder cancer patients and normal controls reveals a lower incidence of streptococcus sp. oral taxon 058 xiva in the former group, as per the research (26).",negative,what is the relationship between streptococcus sp. oral taxon 058 and gallbladder cancer?,93
457,Salmonella enterica,bacteremia,"salmonella enterica xiva has been identified to have a negative correlation with bacteremia, as shown in a study where its levels were lower in patients than in control subjects (26).",negative,what is the relationship between salmonella enterica and bacteremia?,93
458,Paenibacillus,urinary tract infection (UTI),"research indicates that urinary tract infection (uti) is associated with a decrease in the presence of paenibacillus xiva, as normal controls exhibited higher levels of this microbe (26).",negative,what is the relationship between paenibacillus and urinary tract infection (uti)?,93
459,Bifidobacterium breve,CRC,"the addition of floraguard?, which contains bifidobacterium breve and other probiotics, to an ethanol diet was found to alleviate crc in wistar rats, suggesting a potential beneficial relationship between s. thermophilus and this liver disease.",negative,what is the relationship between bifidobacterium breve and crc?,433
460,Porphyromonas gingivalis (Pg),gastric cancers,"porphyromonas gingivalis (pg), one of the microbes present in the synbiotic powder floraguard?, has shown to improve gastric cancers in wistar rats that consumed an ethanol diet, indicating a possible protective effect.",negative,what is the relationship between porphyromonas gingivalis (pg) and gastric cancers?,433
461,Lactobacillus casei ATCC 334,DSS colitis,"the administration of a synbiotic supplement, floraguard? enriched with lactobacillus casei atcc 334 and prebiotics, to rats on an ethanol diet resulted in the attenuation of dss colitis, highlighting a potential therapeutic role for s. thermophilus in this liver disease.",negative,what is the relationship between lactobacillus casei atcc 334 and dss colitis?,433
462,C. dificile,endocarditis,"in wistar rats given an ethanol diet, the inclusion of floraguard?, a probiotic mixture containing c. dificile, led to a reduction in endocarditis, implying a beneficial association between s. thermophilus and the disease.",negative,what is the relationship between c. dificile and endocarditis?,433
463,Bacteroides acidifaciens,bacterial endocarditis,"the microbe bacteroides acidifaciens is associated with the exacerbation of bacterial endocarditis in mice, implying a positive correlation between the two.",positive,what is the relationship between bacteroides acidifaciens and bacterial endocarditis?,83
464,Enterobacteriaceae,psychological abnormalities,"in the context of psychological abnormalities in mice, enterobacteriaceae exhibits a enhancing effect, suggesting a relationship of aggravation.",positive,what is the relationship between enterobacteriaceae and psychological abnormalities?,83
465,Bifidobacterium bifidum,alcoholic hepatitis,"the presence of bifidobacterium bifidum microbe has been found to intensify alcoholic hepatitis in mice, indicating a relationship of enhancement with the disease.",positive,what is the relationship between bifidobacterium bifidum and alcoholic hepatitis?,83
466,Lactobacillus paracasei,liver cancer,"the research involved administering a probiotic blend, including lactobacillus paracasei, to patients who underwent partial gastrectomy due to liver cancer, aiming to assess its impact on alleviating physiological disturbances and modifying stomach and fecal microbiota.",na,what is the relationship between lactobacillus paracasei and liver cancer?,983
467,MRSA,CDI,mrsa was part of a probiotic cocktail given to individuals with a history of cdi surgery (partial gastrectomy) to study its effects on attenuating gut dysbiosis and associated physiological disorders.,na,what is the relationship between mrsa and cdi?,983
468,Enterococcus faecium,intestinal disorder,"this study examined the potential benefits of enterococcus faecium, in combination with other probiotics, for intestinal disorder patients who had undergone partial gastrectomy, focusing on the improvement of gastrointestinal symptoms and microbial diversity.",na,what is the relationship between enterococcus faecium and intestinal disorder?,983
469,Prevotella,hemorrhagic colitis,"in the context of hemorrhagic colitis, the role of prevotella as part of a probiotic mixture in ameliorating physiological disorders and altering the stomach and fecal microbiome was investigated in patients following partial gastrectomy.",na,what is the relationship between prevotella and hemorrhagic colitis?,983
470,Peptostreptococcus,DSS-induced colitis,"the research explored the effects of peptostreptococcus, when used in a probiotic regimen, on reducing the severity of dss-induced colitis-associated complications and modifying the intestinal microbial landscape in patients post-partial gastrectomy.",na,what is the relationship between peptostreptococcus and dss-induced colitis?,983
